Alignment	Theta	Pi	TajimasD
lineage4_PRO_resistant	0.000170161548837	0.000140726234748	-0.653348094306
lineage4_INH_resistant	0.000437835857367	0.000147121317337	-2.12485231762
lineage4_K_susceptible	0.000246817167842	0.000133601959116	-1.59231319173
lineage4_K_resistant	0.000105218478502	5.39778876759e-05	-1.81540664058
lineage4_RIF_resistant	0.000356268419768	0.00014350724325	-1.94607933814
lineage4_STR_resistant	0.000409146777551	0.000148238839762	-2.06768767415
lineage4_EMB_resistant	0.000290084703419	0.000128922930021	-1.89007055988
lineage4_INH_susceptible	0.000663055181772	0.00015203370404	-2.47651827942
lineage4_RIF_susceptible	0.000739166499295	0.000152107956381	-2.51492427227
lineage4_CAP_susceptible	0.000394811523606	0.000152441855534	-2.04903005853
lineage4_CAP_resistant	0.000180582824517	8.92529701034e-05	-1.84868640427
lineage4_OFL_susceptible	0.000400869829571	0.00015015819021	-2.07537037236
lineage4_MOX_resistant	0.000202563377255	0.000160664853644	-0.979004342039
lineage4_MOX_susceptible	0.000279502827424	0.000147319410673	-1.68411952137
lineage4_PZA_resistant	0.000254950772422	0.00012265086077	-1.77442674075
lineage4_EMB_susceptible	0.000773673368483	0.000152863210229	-2.51317121053
lineage4_Et_susceptible	0.00022080826292	0.000137427503909	-1.39386715282
lineage4_AMI_susceptible	0.000293564560907	0.000147182368008	-1.75489283554
lineage4_PRO_susceptible	0.000258548488039	0.000149470848233	-1.57901286935
lineage4_STR_susceptible	0.00070858266676	0.000152202115527	-2.49424844779
lineage4_OFL_resistant	0.000215222435243	0.000117757679928	-1.60976659664
lineage4_PZA_susceptible	0.000766546107332	0.000153134583806	-2.50630241452
lineage4_Et_resistant	0.000144032091697	7.1351502853e-05	-1.83596802595
lineage4_AMI_resistant	0.00014865489274	0.000133607498316	-0.52897118826
